CHILD 1 offset: 42 us | pulse_to_spi: 329 us | synced: 1545569.314000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 329 us | synced: 1560574.914000 ms
CHILD 1 offset: 42 us | pulse_to_spi: 330 us | synced: 1575580.514000 ms
CHILD 1 offset: 43 us | pulse_to_spi: 330 us | synced: 1590586.114000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 1605591.714000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 1620597.314000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 329 us | synced: 1635602.914000 ms
CHILD 1 offset: 44 us | pulse_to_spi: 330 us | synced: 1650608.514000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 1665614.114000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 1680619.714000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 329 us | synced: 1695625.314000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 329 us | synced: 1710630.914000 ms
CHILD 1 offset: 45 us | pulse_to_spi: 330 us | synced: 1725636.514000 ms
CHILD 1 offset: 46 us | pulse_to_spi: 330 us | synced: 1740642.114000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1755647.714000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1770653.314000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1785658.914000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1800664.514000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1815670.114000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1830675.714000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 329 us | synced: 1845681.314000 ms
CHILD 1 offset: 48 us | pulse_to_spi: 329 us | synced: 1860686.914000 ms
CHILD 1 offset: 47 us | pulse_to_spi: 330 us | synced: 1875692.514000 ms
