CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2070768.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2085773.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2100779.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2115785.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2130790.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2145796.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2160801.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2175807.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2190813.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2205818.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2220824.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2235829.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2250835.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2265841.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2280846.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2295852.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2310857.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2325863.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2340869.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2355874.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 0 us | synced: 2370880.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2385885.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2400891.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2415897.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2430902.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2445908.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2460913.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2475919.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2490925.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2505930.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2520936.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2535941.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2550947.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2565953.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2580958.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2595964.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2610969.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2625975.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2640981.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2655986.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2670992.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2685997.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2701003.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2716009.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2731014.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2746020.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2761025.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2776031.000000 ms
CHILD 1 offset: -1000 us | pulse_to_spi: 1000 us | synced: 2791037.000000 ms
CHILD 1 offset: 1000 us | pulse_to_spi: 0 us | synced: 2806042.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 0 us | synced: 2821048.000000 ms
CHILD 1 offset: 0 us | pulse_to_spi: 1000 us | synced: 2836053.000000 ms
